instituicao;id_municipio;valor_total;valor_gasto_hospital;perc
Prefeitura Municipal de Amparo de São Francisco - SE;2800100;16392203,00;21491,37;1,31107270938507e-01
Prefeitura Municipal de Amparo do Serra - MG;3102506;14221605,16;69946,42;4,91832104836751e-01
Prefeitura Municipal de Ampére - PR;4101002;68914517,86;7996078,98;1,16028947575953e+01
Prefeitura Municipal de Amélia Rodrigues - BA;2901106;60584721,67;7676507,90;1,26706992924938e+01
Prefeitura Municipal de América Dourada - BA;2901155;57309889,65;370809,71;6,47025691838860e-01
Prefeitura Municipal de Américo Brasiliense - SP;3501707;111893209,12;17442560,76;1,55885785180169e+01
Prefeitura Municipal de Américo de Campos - SP;3501806;27771609,72;74265,03;2,67413487186223e-01
Prefeitura Municipal de Anadia - AL;2700201;57342672,43;2444087,67;4,26224932746826e+00
Prefeitura Municipal de Anagé - BA;2901205;58903405,20;2286270,11;3,88138869431610e+00
Prefeitura Municipal de Anahy - PR;4101051;19869010,84;NA;NA
Prefeitura Municipal de Anajatuba - MA;2100709;71841928,41;18424002,96;2,56451954558551e+01
Prefeitura Municipal de Anajás - PA;1500701;94200882,93;5838228,27;6,19763646412778e+00
Prefeitura Municipal de Analândia - SP;3502002;30788120,10;75974,92;2,46766998937360e-01
Prefeitura Municipal de Anamã - AM;1300086;48316497,68;2818616,15;5,83365162075216e+00
Prefeitura Municipal de Ananindeua - PA;1500800;811593715,79;131597523,09;1,62147045411637e+01
Prefeitura Municipal de Ananás - TO;1701002;27617121,82;608073,43;2,20179870285991e+00
Prefeitura Municipal de Anapu - PA;1500859;94305123,54;6516812,84;6,91034865909047e+00
Prefeitura Municipal de Anapurus - MA;2100808;41460962,83;1454166,24;3,50731420773423e+00
Prefeitura Municipal de Anastácio - MS;5000708;76491208,38;4515492,19;5,90328259369041e+00
Prefeitura Municipal de Anaurilândia - MS;5000807;44873683,26;62425,87;1,39114655773412e-01
Prefeitura Municipal de Anchieta - ES;3200409;249829921,91;18662667,89;7,47014919082556e+00
Prefeitura Municipal de Anchieta - SC;4200804;25032149,98;576589,95;2,30339763248734e+00
Prefeitura Municipal de Andaraí - BA;2901304;43877897,70;4249619,30;9,68510234709809e+00
Prefeitura Municipal de Andirá - PR;4101101;87485082,36;2006164,66;2,29315056450957e+00
Prefeitura Municipal de Andorinha - BA;2901353;48743702,69;5358100,36;1,09923950465487e+01
Prefeitura Municipal de Andradas - MG;3102605;105110987,15;19494495,21;1,85465817975624e+01
Prefeitura Municipal de Andradina - SP;3502101;184578741,41;16289602,23;8,82528621961742e+00
Prefeitura Municipal de Andrelândia - MG;3102803;37853984,83;6484071,88;1,71291659494227e+01
Prefeitura Municipal de André da Rocha - RS;4300661;15460843,37;494938,05;3,20123578096891e+00
Prefeitura Municipal de Angatuba - SP;3502200;96895866,66;13982898,39;1,44308512550539e+01
Prefeitura Municipal de Angelim - PE;2601003;38897509,74;4354533,65;1,11948905703905e+01
Prefeitura Municipal de Angelina - SC;4200903;24820104,42;11465,00;4,61923922880901e-02
Prefeitura Municipal de Angelândia - MG;3102852;22654413,45;2885952,93;1,27390317845550e+01
Prefeitura Municipal de Angical - BA;2901403;41974622,86;419940,86;1,00046368826386e+00
